Join_Count,TARGET_FID,proyecto,FREQUENCY,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,parqueos_m,balcon,piscina,gimnasio,areas_verd,area_socia,areas_depo,juegos,Densidad,Porcentaje,Porcenta_1,Porcenta_2,Porcenta_3,Porcenta_4,Dist_DBC,Dist_CH,Dist_Trans,Count_Tran,Dist_Tra_1,Count_Tr_1,Dist_Educa,Count_Educ,Dist_Salud,Count_Salu,Dist_Cultu,Count_Cult,Dist_parqu,Area_parqu,Dist_Resta,Count_Rest,Dist_hotel,Count_Hote,Dist_banco,Count_Banc,Dist_Ofico,Count_Ofic,Dist_indus,Count_Indu,Dist_Vías,G2,G3,G4,G5,ID,Zona,CLUSTER_ID,Municipio,ZONA_1,Población,km2,NEAR_FID
1,241,MODRA,17,Zona 4,14.617418,-90.515477,1923,103106.4118,53.88235294,18,1,145,3,2.470588235,1.588235294,1,0,0,0,1,0,1,1,1,238,16,12,2,21,6,0.869210006,1.358033856,0.248171827,11,0.03087893,11,0.123806188,24,0.149142163,19,0.184152905,19,0.103566339,53071,0.075387199,98,0.091171712,13,0.06175006,50,0.043326616,39,0.474707619,2,0.033047398,0,0,1,0,241,4,1,Guatemala,4,2375,10,85
1,242,MONAD,7,Zona 10,14.60179,-90.511626,2388.857143,316388.2857,132.0714286,17,1,51,2,2.428571429,2.928571429,2.142857143,0,1,1,1,0,1,0,1,140,19,37,16,18,17,0,2.846775233,0.707974332,3,0.153667377,4,0.152635474,22,0.173732527,24,0.178395995,12,0.410545754,60569,0.085033375,98,0.26367558,20,0.117885338,55,0.14410027,44,1.347361721,0,0.1625889,0,0,0,1,242,10,1,Guatemala,10,7700,55,139
1,243,Monet Apartamentos,12,Santa Catarina Pinula,14.56325,-90.4427,1055,77127,73.33333333,14,3,84,2,2.666666667,1.666666667,1.666666667,0,0,1,1,1,1,1,1,120,20,11,3,17,6,7.171197558,9.376025793,8.194292481,0,0.340955738,1,3.630003481,0,4.627406732,0,5.045458711,0,1.331494555,0,1.421998313,0,2.824082271,0,1.401673859,0,1.469770421,0,0.938311661,0,1.515811733,0,0,0,0,243,28,3,Santa Catarina Pinula,0,80582,672,121
1,244,Monte Alto,12,Boca del Monte 0,14.545992,-90.527634,953.5833333,57228.08333,60,10,1,70,2,3,1,1.583333333,0,0,0,0,0,1,0,1,56,15,5,1,16,5,5.42563272,8.602375169,2.395372261,0,0.82533073,6,0.687682578,10,0.859765265,1,0.745177257,1,0.190845222,15227,0.128166079,3,2.726171692,0,0.46376934,4,2.691528926,0,0.180130928,48,0.83068059,0,0,0,0,244,43,5,Villa Canales,0,155422,2796,302
1,245,Monte Azul III,55,Zona 13,14.55930259,-90.52790809,1280.890909,150481.9091,117.7454545,8,1,28,1,2.018181818,2,1.745454545,0,0,0,0,1,1,0,1,319,25,12,2,16,8,4.166865148,7.290847958,1.067174464,0,0.874730061,3,0.554428306,10,1.019509563,0,1.426382899,0,0.579215513,558,0.823327594,2,1.810771908,0,0.69644699,3,1.431120494,0,0.466236541,6,1.029105318,0,1,0,0,245,13,5,Guatemala,13,25850,81,5
1,246,Monte Cavalieri,12,Zona 16,14.59104,-90.4731,1783,173400,98.15,14,1,37,2,2.5,2,2,0,1,1,1,1,1,0,1,198,19,24,8,16,8,3.316221192,5.267497155,4.226317539,0,2.336127108,0,0.895690103,1,1.468855794,0,1.232714633,0,0.967631662,0,0.854800087,1,3.221076212,0,1.433569782,0,1.54407208,0,3.813344182,0,0.107350364,0,0,1,0,246,16,1,Guatemala,16,38996,197,16
1,247,Morea,10,Zona 15,14.58378,-90.4895,2282,168250,74.035,13,1,46,2,2.5,2.5,2,0,1,1,1,0,1,0,1,119,19,37,16,17,17,2.113211006,5.003344965,3.240893762,0,0.698016664,2,0.363363493,11,0.471654397,3,0.307600561,1,0.063015097,114374,0.26599551,13,1.737150755,0,0.360189275,11,0.221366709,12,2.214870685,0,0.235011402,0,0,1,0,247,15,1,Guatemala,15,11192,94,16
1,248,Moretti,15,Zona 10,14.593758,-90.508461,2300.2,171287.2,75.668,12,1,66,3,1.8,1.7,1.6,0,0,1,1,0,1,0,1,140,19,37,16,18,17,0.281640137,3.632331031,1.22147646,0,0.280630712,4,0.029925265,16,0.25281862,5,0.536977093,7,0.357624589,23497,0.07175214,71,0.124445979,10,0.277608321,27,0.249641284,41,1.366511523,0,0.236551568,0,0,0,1,248,10,1,Guatemala,10,7700,55,143
1,249,Murakami,14,Zona 14,14.57279722,-90.52403889,1787,500323,280,21,1,36,2,3,3,2,0,1,1,1,1,1,0,1,364,19,24,10,17,13,2.763993422,5.898331216,0.188788776,3,1.578256402,0,0.09515271,14,0.180707656,5,0.20740748,6,0.084826804,52610,0.857281455,2,0.901621479,0,0.245121715,2,0.769031593,1,0.420189781,2,1.578509134,0,0,0,1,249,14,1,Guatemala,14,16390,45,5
1,250,Museo San Mateo,26,Zona 7,14.634097,-90.568079,1966.576923,159380.8462,81.11538462,12,2,113,2,3,2,2,0,1,0,1,0,1,0,1,1079,24,10,1,16,9,5.657981816,4.509160579,1.206896999,0,2.660259212,0,0.175316834,16,0.606780595,3,0.588845706,3,0.386267627,70756,0.261904216,7,1.142352374,0,0.38369363,16,0.267079231,14,0.50854986,6,0.197174388,0,0,1,0,250,7,2,Guatemala,7,137029,127,118
