TARGET_FID,proyecto,region_zon,latitud,longitud,precio_m2,Total_Pric,superficie,niveles,torres,unidades,ascensor,dormitorio,sanitarios,parqueos,Dist_DBC,Dist_CH,Dist_Trans,Dist_Tra_1,Dist_Educa,Dist_Salud,Dist_Cultu,Dist_parqu,Dist_Resta,Dist_hotel,Dist_banco,Dist_Ofico,Dist_indus,Dist_Vías,Población
392,Torres Villa Hermosa,San Miguel Petapa,14.51689,-90.5514,737,38312,52,12,3,240,4,1.5,1,1,8.92185405,11.88612442,4.918140736,0.562053588,2.235554228,3.364786597,3.378029688,0.164308247,0.707787354,1.700454014,0.816483025,0.75278546,0.19583489,2.392219937,135447
393,Torres Villa Luz,Zona 17,14.63647,-90.4838,706,32464.9,46,6,11,264,0,2.5,1,0,3.873507092,2.299709939,0.940675505,1.240392147,0.08226767,0.106752593,0.798263612,0.780076752,0.746712958,2.347237164,1.155459979,0.803690907,0.327356544,0.530702442,20498
394,Trento (zona 16),Zona 16,14.59621906,-90.46092107,1595.90625,146020.0938,91.46875,6,2,22,1,2.46875,2,2,4.468570745,5.836724353,4.596984174,1.826828727,0.853795488,2.604322196,2.065252422,0.326623678,1.948238214,4.469812766,2.756825924,0.712759831,4.027900514,0.654601825,38996
395,Trento Diez,Zona 10,14.592269,-90.501399,1838.8,207016.7,112.3,10,3,120,2,3,1.5,2,0.651536306,3.846619719,1.923570101,0.260322076,0.375907534,0.459729483,0.420165936,0.031165776,0.281080642,0.411967148,0.359207219,0.375963744,1.574751346,0.263978902,7700
396,TREO,Mixco Zona 4,14.657464,-90.563203,1045.857143,82939.28571,79.28571429,12,2,148,4,2.857142857,2,2,6.672698618,4.354876751,2.287617915,3.505853021,0.895039075,1.099493365,1.584647276,0.398918534,0.641137155,2.88202026,0.434366526,0.223167198,0.383208688,0.28580343,465775
397,Tres 15,Zona 13,14.59305,-90.5194,2161.9,156037.3667,72.66666667,13,1,64,2,2,1.666666667,1.666666667,0.686567446,3.826141185,0.171668286,0.081685003,0.099105641,0.187345384,0.477455073,0.090794008,0.091784714,0.410476648,0.134234775,0.171182567,1.20570511,0.256810508,25850
398,Tribeca,Zona 11,14.600429,-90.563847,1567.1,116295.05,74.25,8,2,118,4,2.55,2,2,4.480899755,5.180044757,0.438168553,1.946044661,0.238034112,0.183670513,0.243546982,0.296255381,0.884628461,1.06690446,0.251029965,0.950005026,0.812498769,0.235184991,35003
399,Trivá,Zona 15,14.598043,-90.4994,2084.071429,203757.7143,97.94142857,13,2,83,4,2.714285714,2,1.857142857,0.618955311,3.329507959,1.983116489,0.688467526,0.263525533,0.915981989,0.446839487,0.119949575,0.429549664,0.880750022,0.181959374,0.735027235,1.811001434,0.506675305,11192
400,Unio,Zona 14,14.58282,-90.5174,2514.818182,235495.6364,94.31515152,9,1,40,2,2,2,2.212121212,1.631762712,4.807009444,0.596117772,0.862492949,0.060005838,0.270235886,0.328436167,0.189531457,0.181912033,0.376262177,0.105288867,0.02467722,0.57599799,0.407143176,16390
401,UNNIDO,Zona 17,14.63882975,-90.48476047,1490.333333,93103.83333,62.18333333,10,1,108,2,2.666666667,1.666666667,1.333333333,3.99506388,2.111925693,0.881253158,1.015926267,0.124710026,0.262582202,0.950701795,0.55600477,0.605934819,2.128399302,0.976364441,0.574445401,0.202385799,0.326861253,20498
402,Urbana,Zona 10,14.599138,-90.511438,1926.035714,252066.7321,131.3992857,18,1,60,2,1.982142857,2.017857143,1.625,0,3.10861479,0.774505997,0.274787843,0.083382076,0.434200934,0.146214266,0.478954582,0.019695016,0.152438215,0.113275405,0.122998269,1.557538839,0.265575853,7700
403,Valle de Vista Hermosa,Zona 15,14.61603242,-90.49549083,1464.196721,179742.623,125.1393443,3,2,12,0,2,1.491803279,2,1.629870891,1.912085366,0.992940756,1.881976367,0.705912346,0.384819485,0.06568069,0.590192244,0.773702264,1.853914301,0.700400683,0.720036941,0.500971158,0.369599418,11192
404,Vasanta,Zona 10,14.59762,-90.511045,2745.695652,297061.9565,108.5091304,22,1,130,5,2.52173913,2.695652174,1.913043478,0.039403395,3.256396241,0.836901642,0.309615666,0.087617092,0.334036772,0.097652617,0.399468749,0.064138108,0.056368422,0.239367198,0.204765852,1.701778628,0.299348334,7700
405,Veinti4,Zona 10,14.58277537,-90.49576523,1639.259259,182888.2037,112.0740741,18,1,100,2,1.888888889,1.62962963,1.62962963,1.720141574,4.898004451,2.673554441,0.257561002,0.233698729,0.753243649,0.883916029,0,0.16139076,1.258475913,0.06333268,0.052599223,1.580390761,0.077445459,7700
406,Velure 16,Zona 16,14.601255,-90.461028,1701.933333,114156.2667,67.33333333,7,1,52,2,2,2,1.933333333,4.469299723,5.550570913,4.260534544,1.427138575,0.366607579,2.375013255,1.625363152,0.731664245,2.319848064,4.545990548,2.626467653,0.234885848,3.660222666,0.203832619,38996
407,Veralto,Zona 11,14.602179,-90.562291,1754,196915,112.27,18,1,102,2,3,2,2,4.330445313,4.949875567,0.376914781,1.825173305,0.098362699,0.050958042,0.009375349,0.499129288,0.860007254,1.221890308,0.016859954,0.718105112,0.626005299,0.056936961,35003
408,Verde Vista,Zona 15,14.58902664,-90.48595235,1777.333333,280570.6667,170.47,8,1,24,1,2,1,1.666666667,2.147006863,4.682033057,3.486865877,1.329676366,0.274354795,0.453840504,0.326873414,0.114729499,0.264286832,1.945631125,0.390454964,0.405673663,2.692079334,0.36665088,11192
409,Verdino,Zona 15,14.5879015,-90.48444797,2174,202205,93,9,1,105,3,2,2,2,2.330506759,4.853639141,3.661744575,1.320873004,0.284602331,0.551706001,0.359469427,0.27799132,0.254927267,2.108814194,0.325953073,0.477662117,2.800749078,0.416776694,11192
410,Verona,Zona 10,14.593749,-90.50592071,1548.678571,186114.7857,119.9285714,16,1,119,3,2.642857143,2.035714286,2,0.243058199,3.642103631,1.449659886,0.087198912,0.130185405,0.163170341,0.501419649,0.332122837,0.098407202,0.17199044,0.436474481,0.254323342,1.452369736,0.083539144,7700
411,Vertical Apartamentos Aurora,Zona 13,14.56538978,-90.53785625,1339.851852,85431.61111,63.6537037,7,4,130,4,2.555555556,1.666666667,1.814814815,3.942353216,6.854852005,1.174352564,0.662592759,0.10110061,0.821605665,1.43217386,1.12084426,0.492189998,1.291725966,0.907490715,0.686043363,0.636512686,1.152571,25850
412,Vertical Once Torre I,Zona 11,14.630726,-90.569445,1468.82,100193.02,65.946,12,2,110,2,2.3,1.78,1.76,5.642126509,4.64495005,1.134461117,2.710076894,0.283176058,0.585485481,0.256482063,0.162047861,0.261315698,1.047848074,0.423783273,0.435897429,0.260549133,0.163954769,35003
413,Vhista,Zona 15,14.590615,-90.492806,2419.344828,323194.4483,133.9213793,16,1,30,2,2.586206897,2.586206897,2,1.462071444,4.24579939,2.786261756,0.924821799,0.205117652,0.251139258,0.679643191,0.08606989,0.456057868,1.250992685,0.076199821,0.157512246,2.132724711,0.089486115,11192
414,Via Siete,Zona 10,14.60398366,-90.50878327,2687,562127,209.21,5,1,48,2,2,2,2,0.026144349,2.609963507,0.950075036,0.183084001,0.20497164,0.158534835,0.266591412,0.399862779,0.281775227,0.216297625,0.151096904,0.076379928,1.198720034,0.190110397,7700
415,Via Venti,Zona 10,14.58954,-90.5098,2034,166849,81.81666667,20,1,150,4,2.333333333,2.333333333,1.666666667,0.720710825,4.05634033,1.131640387,0.033115549,0.247875574,0.419357978,0.246987099,0.406661594,0.163929648,0.356805248,0.170802141,0,0.924494515,0.204196856,7700
416,Viaggio,Muxbal,14.563207,-90.472702,1981.04,134153.72,68,11,1,60,2,2,1.6,1.4,4.727429414,7.583474254,5.241058172,0.02513393,0.629868698,2.260518825,2.742536193,0.518192939,0.411474539,2.099449252,0.11753014,0.108483956,3.19045398,0.400355787,80582
417,Vidali,Zona 5,14.61742,-90.5084,2108.75,119893.1429,57.14107143,9,3,112,2,2.178571429,1.607142857,1.428571429,1.011868783,1.266145919,0.443975943,0.716088095,0.062408806,0.23493208,0.084494751,0.213969087,0.161944363,0.62051539,0.326205447,0.426540276,0.24129396,0.586434925,52970
418,Vidalta,Zona 11,14.60371,-90.553004,2100.333333,123307.3333,58.74333333,18,1,179,4,2,1.666666667,1.666666667,3.416270324,4.143760677,0.433156186,1.026564086,0.159406176,0.491777085,0.579305283,0.15977406,0.53388826,0.435656335,0.439100279,0.305954765,0.273346103,0.417870238,35003
